Año;Mes;Total ;Animales Vivos;Carne;Pescados y moluscos;Leche y derivados;Otros productos de origen animal;Plantas vivas;Hortalizas y tubérculos;Frutas;Café, té y especias;Cereales;Productos de molineria;Semillas y frutos oleaginosos;Gomas, resinas y jugos;Materias trenzables;Grasas y aceites vegetales;Prepraciones de carnes y mariscos;Azúcares y confiterías;Cacao;Productos de cereales;Preparaciones del agro;Preparaciones alimenticias;Bebidas y líquidos;Residuos del las industrias;Tabaco y sucedáneos;Sal, azufre;Metaliferos;Combustibles;Químicos inorgánicos;Químicos orgánicos;Productos famacéuticos;Abonos;Curtiembres y derivados;Resinas y perfumería;Productos de limpieza;Materias Albuminosas;Explosivos;Productos fotógráficos;Productos derivados;Plásticos;Caucho;Pieles;Manufacturas de cuero;Productos de peletería;Madera, Carbón;Corcho;Espartería o Cestería;Pasta de madera;Papel y cartón;Productos editoriales;Seda;Lana y pelo fino;Algodón;Textiles vegetales;Filamentos sintéticos;Fibras sintéticas;Hilados;Alfombras;Tejidos especiales;Telas recubiertas;Tejidos de punto;Prendas, accesorios;Prendas, accesorios;Textíles ( los demás);Calzado;Sombreros;Paraguas;Artículos de plumas;Manufacturas de piedra;Prod. Cerámicos;Vidrio, manufacturas;Perlas finas;Fundición, hierro;Manufacturas de hierro, acero;Cobre, manufacturas;Niquel, manufacturas;Aluminio, manufacturas;Plomo, manufacturas;Zinc, manufacturas;Estaño, manufacturas;Cermet., manufacturas;Herramientas y últiles;Manufacturas de metal;Calderas, máquinas;Material eléctrico;Vehiculos y sus partes;Tractores, velocípedos;Aereonaves;Barcos;Instrumentos y óptica;Relojería y sus partes;Instrumentos músicales;Armas y municiones;Mobiliario hospitalario;Jueguetes;Manufacturas diversas;Objetos de Arte o colección y Antigüedades
2023;Enero;1156316968;192586;1438351;5787787;1859052;263227;15255480;38876038;129111696;110831304;1962166;4280018;7178537;670760;23984;75406121;5741637;110483756;1692444;28066969;11996368;23775587;29283951;13546136;1919225;5165238;4589206;19480871;6231950;4681967;23519122;3536694;11080375;14041904;27450615;1396899;657624;69769;16943333;42626681;17609076;573224;3796013;;8202993;258;36494;1229061;37317395;3442921;92;5116;7291498;9139;2940204;2238632;2245270;199794;927819;158277;18387267;108904147;12857396;5764601;3695269;265740;15070;14281;578477;7654226;9111884;1548483;17750035;16074636;598971;8993;11402646;25;103832;2428;;688934;1066398;21923490;5978144;290628;5692457;469;4936;2493486;117571;24911;;7557315;2221703;4168649;10766
2023;Febrero;1255266157;297875;614279;5059557;1562000;87432;11518162;37925716;137006418;147478680;1748925;3273241;7899379;580604;90911;97822305;5898430;110627318;1544624;28221653;13364047;23713833;40180208;9488534;4034317;5697813;4288056;21769222;8106745;4418460;24833252;5249141;7228867;13055784;26673346;1456237;445451;80344;26004223;40055013;20326547;409096;2847870;;9118616;;6999;1320836;36943303;3592601;53;4293;6976658;336;2985100;2169567;2830924;183623;1138750;230079;21411206;112479854;12260222;5180151;4193461;224652;39031;5911;720633;7286375;7061401;875842;36086771;16521332;708643;15460;8584486;;23347;767;;590156;1307858;18453615;10106197;116829;4447560;765;12258;2424121;78169;130514;;7929899;1791680;3697283;14055
2023;Marzo;1457448146;681873;588114;5655686;1975560;183539;10645708;44059411;169778353;163454851;1005617;2679437;8680692;556935;49817;120916769;7035351;98038867;1832928;35437916;16127479;29438687;60183460;15553329;9271327;7226013;5760299;13849347;7144952;5993142;34426876;5291102;9656710;16439464;32111688;1873171;940376;30964;30692179;50903080;18776827;532917;2883803;;11698271;93;74321;1497794;41490512;1915067;;106029;6752174;1897;3833032;3886318;2900171;162434;1390388;378251;27460474;124939480;14802379;6293786;4276769;323857;14269;17270;811039;9500820;8223525;550025;43729319;22364208;1270527;7383;12156493;4948;25024;911;102193;1166688;1079328;19516040;7422441;86684;6347163;2828386;704;2942615;67395;1857;312;8945206;1959504;3749411;8345
2023;Abril;1222540274;664857;821602;5081786;1401959;61464;11005259;36515973;140825524;154348424;1646263;3073504;9252511;503494;93261;68933784;6401632;74039530;1843780;31497247;15945304;28302463;34651131;10390822;7632063;6825045;1183230;39953417;4792198;4117789;31119975;4946159;7564079;12853447;31154598;1645787;686707;62042;24584067;45840475;16501848;732157;2725428;6;9484119;;48207;1111687;39217625;1972585;857;2820;5205575;;3745526;2046146;2349573;171892;767992;105784;26024018;102859191;10062411;5863515;5156890;264778;6044;11139;908585;9071727;9368538;950507;24380923;22690727;696493;;8577132;154;3878;378;;628682;917684;14058382;11794018;24880;4261746;;9978;1893273;32157;51526;;8245898;1703036;3547490;22017
2023;Mayo;1225531948;579014;736435;5368749;853609;190244;8253925;30093461;127710253;160460448;570983;2216719;8850035;439286;668915;88895841;7958592;81395873;2146978;29334764;13890989;27138480;36150345;13383388;8879337;5530923;5419;15545609;6489761;5202223;33054012;5814454;8047063;16895783;29290678;1728114;417347;61628;31486995;42646748;17100014;729746;2858644;6;8947205;;56132;1371767;40192286;1633117;;18774;7252986;229;3284941;2296661;2295393;195725;1065479;218577;25074668;107123393;12496152;4097103;4286888;364145;30177;15484;561473;8019148;6152640;971810;23031553;20660069;1070114;3563;9537131;4626;4262;3690;256;1294996;1392164;20104597;6447326;393435;8834797;5221;320;2755037;24834;24096;;7744599;1343846;3749257;7976
2023;Junio;1223052627;456367;700741;10217919;2421223;147102;9289383;27196575;104123659;159782804;560123;2395640;8433049;253891;749056;78213775;11845592;58351659;1602040;29659858;16970268;31227801;26493831;12406840;4067845;6786989;1572720;23749180;6381322;5087050;36851476;7873887;8179747;15572413;31548100;1355204;586206;53687;32781883;47886800;16918695;391357;2874760;654;9710596;;60960;1317550;35440150;1639575;;1041;5759327;7190;4167706;2639185;2942536;228254;862804;192428;19084397;131702426;14397363;5937056;5231243;244907;13778;1694;1293534;9476161;9514745;3611689;24272070;26091345;1177671;;10814803;;51351;;;1129928;1252713;15803138;9358838;66058;5115708;2182921;256;2455787;21533;28186;;8004637;1663405;4042730;22083
2023;Julio;1180195293;565826;817055;8480259;1519060;108895;8312196;27763333;110044302;117138880;1021977;2807217;7890675;631195;284018;95947193;10998534;55940694;1365877;28218661;16412079;30672713;34757568;12700481;626399;4825481;4172539;13670196;6889620;5792926;34147315;5879182;7493517;14902008;31470490;1882899;646452;48444;27604081;47197870;18855225;656320;4187645;;9794338;90;33794;1214140;36913977;1784413;20;60931;6552820;;4041304;2153363;2065676;249325;836708;367511;19174718;138485753;13750103;4738917;4402772;203766;16306;10864;906083;8552118;7293345;869777;23982577;23831491;1034223;;12047788;2395;114558;28;;422744;1658332;15514577;8767747;58073;5908579;10813;5884;2984174;17580;32540;259842;7330312;2338459;4008524;43824
2023;Agosto;1114478859;569810;1573359;5269463;1812109;60730;8350628;33515364;124070948;83357140;2991329;2494255;6408371;965612;237233;75583721;13558712;45477333;1802568;29380194;16099725;35235515;27672908;13266693;257666;4857975;1083119;14669539;5385671;4456675;37299981;5676560;8486695;18251997;31559248;1340721;594799;150937;29287525;44793596;18585609;414565;3833443;;10248544;;31215;1270242;38513874;3292477;462;195859;7737099;5473;2945603;1986634;2236324;239867;1152464;177152;19585731;116856611;11088548;4909543;4880161;190553;50946;12170;986959;7450277;5093210;1145358;26602554;20635686;752677;;10905281;;3542;;;892860;1154562;18102062;7226580;107844;4612045;2558122;191;2310170;21085;71421;50;7939436;3421284;4128145;9865
2023;Septiembre;1137428526;538801;961066;5341019;1282397;139953;9169300;30170271;128415053;74857951;237611;3438085;7787870;772959;262600;91759157;9938354;32628402;1547842;28625232;15638577;32185482;32003205;15638947;18048144;4822610;2775175;37124556;4547233;4563103;34630229;5555802;9862501;15863196;29738681;1164229;825455;44554;29303319;44404609;16447079;642563;3791749;;8921224;;37221;1251172;37522116;2394182;;3170;6761994;;2957822;2788351;2137105;830665;831120;198851;19403576;124149354;11696008;4406262;4510294;237223;5801;2185;1603489;7709581;6113859;706200;20515194;20183957;758928;2731;10427321;;89539;;;1409760;1912603;14966460;8339678;73458;5882030;25422;;2720268;34348;65538;21037;8105218;2644319;4559705;17266
2023;Octubre;1001187293;375196;882466;6361765;1193932;157299;7727153;28109053;120081651;40287270;199924;3121038;5683357;1008906;247139;90662195;12563152;24525268;1640249;28317734;16454216;30996750;25192094;13866409;11109090;4653697;1585590;20012552;5395737;5228305;34681548;2965493;9295969;13517592;28962203;1468717;517065;74964;25196322;44217840;17318605;414863;3657472;447;9801012;;3479;1201394;34958589;2436071;203;1140;7012408;;2374844;1306532;2090836;633791;772117;247402;20153744;95676473;9357116;4413945;5188257;184739;14589;19631;1092912;6249815;3464526;3845510;19962597;19951685;513208;;10960494;1255;5218;;;181932;1321902;15666906;5945745;44893;6800582;10758;3176;2793628;15788;11926;45;8207437;2123206;4233974;1576
